By downloading this data it is implied that you have read and agreed to the Disclaimer Document
and will abide by its terms and conditions.

This report was generated at 06:07:25 on 19 June 2017.

WELL HEADER DATA
ORDERED BY WELL NAME
WELL NAME,WELL ALIAS,ENO,UNO,STATE,LATITUDE(Dec Deg;GDA94),LONGITUDE(Dec Deg;GDA94),UTM ZONE,EASTING,NORTHING,ORIGINAL GEOGRAPHIC DATUM,BASIN/SUB-BASIN (WCR),BASIN/SUB-BASIN (GA),WELL STATUS,TOTAL DEPTH DATE,TOTAL DEPTH(mKB),WELL TYPE,PLATFORM,FIELD,LOCATION,ELEVATION/WATER DEPTH(m),TITLE,LAW,OPERATOR,CONTRACTOR,RIGMAKE/RIGMODEL,SPUD DATE,RIG RELEASE DATE,KELLY BUSHING/ROTARY TABLE,KB/RT HEIGHT(m),REMARK,OBJECTIVE (WCR),SUMMARY (WCR),RESFACS_SAMPLES,ORGCHEM_SAMPLES,STRATDAT_SAMPLES,CUTTINGS,CONVENTIONAL_CORES,UNSPECIFIED_CORES,SIDEWALL_BULLET_CORES,SIDEWALL_MECHANICAL_CORES
"Abalone 1","",5655,"W8200013","AC",-13.1226554,123.1902101,Longitude / Latitude (GDA 94),51,520616.5,"8549292.446","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","16-SEP-2000",2504,"exploration","","none","off",-406,"AC/P29","PSLA","Japex AC Ltd","Diamond Offshore","","04-SEP-2000","24-NOV-2000","rotary table",25,"Abalone 1 was spudded 4/9/00. The well was drilled to a TD of 4795m as a deviated hole below 3600m. The well did not reach the lower part of the Echuca Shoals formation or the Upper Vulcan Formation. Good sandstone reservoir was encountered in the Puffin Formation between 3196-3209m with average porosity of 16%. MDT pre-test and sampling confirmed the presence of gas in the sandstone. A 5m gas column was confirmed, with water leg below. Total gas and wireline logs suggest a presence of gas in limestone at the Gibson Formation between 3370-3420m, but wireline logs, MDT pre-tests and thin section descriptions indicate the limestone is tight. The well was deviated below 3600m - see Abalone 1 ST1.Abalone 1 was drilled in offshore petroleum permit AC-P29, Browse Basin.","Petroleum","","127","","47","0","0","0","0","0"
"Abalone 1 ST1","",5656,"W8200015","AC",-13.1226554,123.1902101,Longitude / Latitude (GDA 94),51,520616.5,"8549292.446","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","03-NOV-2000",4795,"exploration","","Abalone","off",-406,"AC/P29","PSLA","Japex AC Ltd","Diamond Offshore","","24-SEP-2000","24-NOV-2000","rotary table",25,"An interval at the base of the Jamieson Formation consists of alternating sandstone and claystone between 4615 and 4668m. Average porosity of this section ranges from 8-22%, water saturation 60-80%. This zone was judged to be water zone with gas. The Echuca Shoals Formation was intersected below 4668m and continued to the TD of 4795m, and consisted of four zones of thinner argillaceous sandstones. Total mud gas increased to a maximum of 31%. Porosity of the top two zones reaches approx 15%, water saturation 40-70%. These sandstones were judged to contain gas but to be tight. There was no oil show observed throughout the well. The well was plugged and abandoned after confirming the presence of gas in the Puffin Formation. Rig released 24/11/00.Abalone 1 is located in the Browse Basin in Permit AC/P 29, approximately 32km northwest of Bassett 1A and 100 km west of Kalyptea 1/ST1 and 83 km south of Mount Ashmore 1B.","Petroleum","","180","69","57","64","0","0","0","0"
"Abalone Deep 1","",466344,"","AC",-13.1388237,123.1440269,Longitude / Latitude (GDA 94),51,515609.761,"8547507.746","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","20-FEB-2009",5300,"exploration","","Abalone","off",-401.2,"AC/P36","OPGGSA","Murphy Australia Oil Pty Ltd","Stena Drilling Limited","","27-NOV-2008","03-MAR-2009","rotary table",25,"Subeconomic gas in the M. australis sandstone.The Abalone Deep-1 was drilled by the semi-submersible rig Stena Clyde in the south westernportion of exploration permit AC/P-36, Browse Basin, approximately 250km from the WesternAustralian coastline in a water depth of 401.2mTVDLAT. The well is located 5.3km westof the Abalone-1 gas discovery drilled by JAPEX in 2000. Other offset wells include Brewster-1,Ichthys-1 and wells in the Icthys field 40km to the southeast, the Adele-1 gas discovery 60km tothe east and the Argus-1 gas discovery 65km to the west.","Petroleum","","","","1","0","0","0","0","0"
"Alaria 1","",5686,"W8970001","AC",-10.6102383,125.926326,Longitude / Latitude (GDA 94),51,820226.406,"8825609.458","Bonaparte Basin/Flamingo High;Laminaria","Bonaparte Basin/Laminaria High","suspended","17-APR-1997",3614,"exploration","","none","off",-402,"AC/L5","PSLA","Woodside Offshore Petroleum","Sedco Forex","","24-MAR-1997","26-APR-1997","rotary table",30,"The well was drilled to test the hydrocarbon potential of the Alaria structure, which lies on the Laminaria High 4 km southwest of the Corallina oil field. Alaria 1 encountered the objective Late to Middle Jurrasic Laminaria Formation reservoir water bearing at a depth of 3424 mRT, and reached a total depth (T.D.) of 3614 mRT in the Middle Jurrasic Plover Formation without encountering any significant hydrocarbons. The well was plugged and suspended as a possible future gas injecting well for the Laminaria/Corallina Field development.Suspended as a possible gas injection well.Alaria -1 encountered the objective Late to Middle Jurassic Laminaria Fm reservoir water-bearing at a depth of 3424 mRT, some 250m deeper than prognosed and outside the structural closure, leaving a column of some 40m untested higher up the structure. The deeper occurrence was due to the presence of a considerably thicker sequence of Early Cretaceous to Late Jurassic sealing claystones than prognosed, and the mis-identification of the 'JT' seismic marker as 'JC'. The well reached a TD of 3614 mRT in the Middle Jurassic Plover Fm without encountering any significant hydrocarbons. The well was plugged and suspended as a possible future gas injection well for the Laminaria/Corallina Field development. Alaria-1 encountered 191m of potential reservoir sst belonging to the Laminaria and Plover Fms. Reservoir quality of the ssts was fair to good with porosities and permeabilities of 15.4% and 750 mD in the cored interval, and an overall 77% N:G which correlates well with the reservoir properties from the Laminaria-1 and Corallina-1 and were close to prediction. Seismic line: x-line 1756 SP 351, in-line 351 trace 1756.Alaria 1 was drilled in Production License AC/L5, situated offshore in the Timor Sea, approximately 550km northwest of Darwin. The nearest wells are Corallina 1, 4km to the northeast and Laminaria 1, 11.5 km to the east-southeast.","Petroleum","","854","70","101","15","0","55","0","0"
"Allaru 1","",5716,"W8880019","AC",-12.0920266,124.7994282,Longitude / Latitude (GDA 94),51,695846.988,"8662625.815","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","15-OCT-1988",2986,"exploration","","none","off",-125,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Sedco Forex","","08-SEP-1988","03-DEC-1988","kelly bushing",26,"Cuttings returns were intermittent down to 1954mKB; hence lithological interpretation is based on log correlation to nearby wells.The well penetrated a sequence recent to Jurassic in age. Oligocene aged sediments are absent at the Allaru Location. Cuttings returns were intermittent down to 1954mKB; hence lithological interpretation is based on log correlation to nearby wells. The mapped 'Base Cretaceous' (Intra Valavginian) horizon was penetrated at 2343mKB, approximately 164m high to prognosis. Immediately beneath the Intra-Valanginian event, 60m of Berriasian- Tithonian aged glauconitic claystones, siltstones and argillaceous sandstones of the Upper Vulcan Formation were penetrated. This sequence had not been predicted. An Intra-Kimmeridgian Unconformity event was intersected at 2403mKB. Approximately 90m of Oxfordian aged claystones had been predicted at Allaru. However, beneath the Intra-Kimmeridgian Unconformity 583m of Kimmeridgian-Oxfordian aged sediments of the Lower Vulcan Fm were penetrated. No hydrocarbon shows(fluorescence or significant gas)were encountered in either of the sandstone reservoirs at the base of the Oliver Fm. Up to 15% total gas,and 5-40% dull yellow green fluorescence with a slow cut was observed in the argillaceous sands of the Upper Vulcan Formation age. The lack of conventional wireline logs over this and the lower two sands made detailed log interpretation impossible. MWD log interpretation of this sand indicated the presence of a residual hydrocarbon column. Traces of fluorescence were observed in the Intra-Oxfordian aged sand of the Lower Vulcan Formation, however MWD log interpretation indicates the zone to be water bearing. MWD resistivity anomalies and minor gas in the basal Oxfordian sand suggested the presence of hydrocarbons. The second sidetrack, updip of the original Allaru well , showed no anomalies and the sands were interpreted as water bearing. The resistivity variations in the original well are interpreted to be due to increases in shaliness and porosity reduction as a result of cementation. Allaru-1 was plugged and abandoned.Allaru 1 located approximately 28km northeast of the Eclipse wells and 28km southwest of the Jabiru oil field. Allaru-1 was located on Seismic Line HV6-1332 shotpoint 257.","Petroleum","","82","76","45","76","0","0","0","0"
"Allaru 1 ST1","",5717,"W8880045","AC",-12.0920266,124.7994282,Longitude / Latitude (GDA 94),51,695846.988,"8662625.815","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","02-NOV-1988",2883,"exploration","","none","off",-125,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Sedco Forex","","24-OCT-1988","03-DEC-1988","kelly bushing",26,"For information on location, objectives, structure and summary see Remarks for Allaru 1.","Petroleum","","8","","30","0","0","0","0","0"
"Allaru 1 ST2","",5718,"W8880046","AC",-12.0920266,124.7994282,Longitude / Latitude (GDA 94),51,695846.988,"8662625.815","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","27-NOV-1988",2993,"exploration","","none","off",-125,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Sedco Forex","","07-NOV-1988","03-DEC-1988","kelly bushing",26,"For informations on location, objectives, structure and summary see Remarks for Allaru 1.","Petroleum","","7","","32","0","0","0","0","0"
"Anderdon 1","",544680,"","AC",-12.6452646,124.7980158,Longitude / Latitude (GDA 94),51,695281.667,"8601421.663","Bonaparte Basin;Browse Basin/Londonderry High","Bonaparte Basin/Vulcan Sub-basin","abandoned","13-JAN-1985",138,"exploration","","none","off",-97,"NT/P2","PSLA","BHP Petroleum Pty Ltd","Atwood Oceanics Australia PTY Ltd","","12-JAN-1985","16-MAR-1985","rotary table",8.3,"Anderdon-l, located at latitude 12deg 38min 47.098sec South andlongitude 124deg 47min 47.735sec East, was spudded at 1615 hourson the 12th January 1985, in 97 m of water, using thedrillship -Regional Endeavour.The 36in hole was drilled to 138 m, but the 30- casing wasunable to be run past 123.5 m. The rig was repositioned42 m northwest and the well respudded.The well is 40 km southeast of Swift 1, which hadnon-commercial hydrocarbon shows, and was located to test theclosure at the Top Permian level. AS there was no closure athigher levels, there were no secondary objective.The well islocated approximately 700 km west of Darwin in the Timor Sea.The well is 40 km southeast of Swift 1...in permit NT/P2.","Petroleum","","","","","0","0","0","0","0"
"Anderdon 1A","",544691,"","AC",-12.6450363,124.7978505,Longitude / Latitude (GDA 94),51,695263.882,"8601447.044","Bonaparte Basin;Browse Basin/Londonderry High","Bonaparte Basin/Vulcan Sub-basin","abandoned","07-FEB-1985",2186,"exploration","","none","off",-97,"AC/P2 (R2)","PSLA","BHP Petroleum Pty Ltd","Atwood Oceanics Australia PTY Ltd","","15-JAN-1985","16-MAR-1985","rotary table",8.3,"","Petroleum","","","","","0","0","0","0","0"
"Anderdon 1A ST1","",5768,"W8850003","AC",-12.6450363,124.7978505,Longitude / Latitude (GDA 94),51,695263.882,"8601447.044","Bonaparte Basin/Londonderry High","Bonaparte Basin/Vulcan Sub-basin","abandoned","10-MAR-1985",2905,"exploration","","none","off",-97,"AC/P2 (R2)","PSLA","BHP Petroleum Pty Ltd","Atwood Oceanics Australia PTY Ltd","","15-FEB-1985","16-MAR-1985","rotary table",8.3,"Anderdon 1A ST1 was plugged and abandoned after encountering no significant hydrocarbons. The sedimentary sequence encountered by the well was essentially as predicted, with the top of the Hyland Bay Formation (Top Late Permian) coming in at -2408m SS some 441m high to the prognosed depth. The Base Cretceous Unconformity came in at -1419m SS, 97m high to predicted. The only potential reservoir zones found in the well were the basal sands of the Miocene and Eocene and the uppermost section of the Cretacoeus sandstone sequence. Minor gases were detected from the Early Triassic down into the Late Permian (2290-2460). Wet gas was detected in Late Permian from 2800-2825m and at the base of the Triassic between 2414-2416m. (R.Temple 5/8/87) The presence of the argillaceous limestone with its low interpretated porosity of <5%, and virtually no background gas, indicates that this carbonate sequence has no reservoir potential in the area. The small shaly sand from 2786-2787m is far to thin to be considered as reservoir quality. The siltstone directly below this had minor wet gas readings but its low porosity (11%) means that it can not be considered to have future exploration potential. The Anderdon 1 well was a valid structural test, with minor hydrocarbon indications in the Early to Middle Triassic and the Late Permian. The geochemical results performed on samples from the formations indicate that the source rocks are gas-prone with only minor liquid generation at present. The Triassic kerogens are immature while those in the Late Permain are over-mature. Since the area has no prospective source, and the Late Permian is not reservoir prospective, the area can now be considered as lacking further exploration potential in the Late Permian.Anderdon 1 is located 40km SW of Swift 1 and 66km SW of Osprey 1 in the Bonaparte Basin. Seismic Reference Line H 283A-34, shot point 635.","Petroleum","","688","54","42","36","0","0","18","0"
